Date,Open,High,Low,Close,Adj Close,Volume
2018-06-26,26495.650391,26712.599609,26479.650391,26601.699219,26601.699219,0
2018-06-27,26616.300781,26634.300781,26336.500000,26423.400391,26423.400391,0
2018-06-28,26398.099609,26487.849609,26161.000000,26324.599609,26324.599609,0
2018-06-29,26312.699219,26465.000000,26291.349609,26364.199219,26364.199219,0
2018-07-02,26364.449219,26371.599609,26060.599609,26230.300781,26230.300781,0
2018-07-03,26210.099609,26316.099609,26142.000000,26204.099609,26204.099609,0
2018-07-04,26249.250000,26480.500000,26132.900391,26433.949219,26433.949219,0
2018-07-05,26481.550781,26598.449219,26415.199219,26503.300781,26503.300781,0
2018-07-06,26427.550781,26609.849609,26410.000000,26493.849609,26493.849609,0
2018-07-09,26642.349609,26781.199219,26611.550781,26753.300781,26753.300781,0
2018-07-10,26844.550781,26939.550781,26778.500000,26894.550781,26894.550781,0
2018-07-11,26900.650391,26938.849609,26774.599609,26816.199219,26816.199219,0
2018-07-12,26937.500000,27164.800781,26936.050781,27026.550781,27026.550781,0
2018-07-13,27046.849609,27102.349609,26902.300781,26935.949219,26935.949219,0
2018-07-16,26914.500000,26939.050781,26643.949219,26679.800781,26679.800781,0
2018-07-17,26662.849609,27041.349609,26653.650391,27008.099609,27008.099609,0
2018-07-18,27107.349609,27187.150391,26834.449219,26880.900391,26880.900391,0
2018-07-19,26960.199219,27025.449219,26730.099609,26789.650391,26789.650391,0
2018-07-20,26764.400391,26946.550781,26718.599609,26873.199219,26873.199219,0
2018-07-23,26701.300781,27040.099609,26671.349609,27008.150391,27008.150391,0
2018-07-24,26984.150391,27128.000000,26868.150391,26974.400391,26974.400391,0
2018-07-25,26992.550781,27074.000000,26939.349609,27031.300781,27031.300781,0
2018-07-26,27054.699219,27455.099609,27045.050781,27406.400391,27406.400391,0
